TEMPORAL;TERRITORIO;ARE_INSCRIPCION;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
2016;04;;00;04;;622.0;A
2016;04;;00;11;;5.0;A
2016;04;;00;14;;4.0;A
2016;04;;00;18;;27.0;A
2016;04;;00;21;;1.0;A
2016;04;;00;23;;8.0;A
2016;04;;00;29;;8.0;A
2016;04;;00;41;;6.0;A
2016;04;;00;C01;;681.0;A
2016;04;;00;C02;;128.0;A
2016;04;;00;66;;2417.0;A
2016;04;;00;NC000;;1.0;A
2016;04;;00;00;;3227.0;A
2016;04;;01;04;;343.0;A
2016;04;;01;11;;5.0;A
2016;04;;01;14;;4.0;A
2016;04;;01;18;;15.0;A
2016;04;;01;21;;1.0;A
2016;04;;01;23;;2.0;A
2016;04;;01;29;;5.0;A
2016;04;;01;41;;3.0;A
2016;04;;01;C01;;378.0;A
2016;04;;01;C02;;67.0;A
2016;04;;01;66;;1207.0;A
2016;04;;01;NC000;;1.0;A
2016;04;;01;00;;1653.0;A
2016;04;;06;04;;279.0;A
2016;04;;06;18;;12.0;A
2016;04;;06;23;;6.0;A
2016;04;;06;29;;3.0;A
2016;04;;06;41;;3.0;A
2016;04;;06;C01;;303.0;A
2016;04;;06;C02;;61.0;A
2016;04;;06;66;;1210.0;A
2016;04;;06;00;;1574.0;A
2016;11;;00;11;;1197.0;A
2016;11;;00;14;;13.0;A
2016;11;;00;18;;8.0;A
2016;11;;00;21;;6.0;A
2016;11;;00;23;;5.0;A
2016;11;;00;29;;16.0;A
2016;11;;00;41;;54.0;A
2016;11;;00;C01;;1299.0;A
2016;11;;00;C02;;185.0;A
2016;11;;00;66;;1025.0;A
2016;11;;00;00;;2509.0;A
2016;11;;01;11;;647.0;A
2016;11;;01;14;;6.0;A
2016;11;;01;18;;7.0;A
2016;11;;01;21;;4.0;A
2016;11;;01;23;;3.0;A
2016;11;;01;29;;6.0;A
2016;11;;01;41;;26.0;A
2016;11;;01;C01;;699.0;A
2016;11;;01;C02;;93.0;A
2016;11;;01;66;;493.0;A
2016;11;;01;00;;1285.0;A
2016;11;;06;11;;550.0;A
2016;11;;06;14;;7.0;A
2016;11;;06;18;;1.0;A
2016;11;;06;21;;2.0;A
2016;11;;06;23;;2.0;A
2016;11;;06;29;;10.0;A
2016;11;;06;41;;28.0;A
2016;11;;06;C01;;600.0;A
2016;11;;06;C02;;92.0;A
2016;11;;06;66;;532.0;A
2016;11;;06;00;;1224.0;A
2016;14;;00;11;;6.0;A
2016;14;;00;14;;538.0;A
2016;14;;00;18;;8.0;A
2016;14;;00;23;;5.0;A
2016;14;;00;29;;6.0;A
2016;14;;00;41;;10.0;A
2016;14;;00;C01;;573.0;A
2016;14;;00;C02;;69.0;A
2016;14;;00;66;;505.0;A
2016;14;;00;00;;1147.0;A
2016;14;;01;11;;2.0;A
2016;14;;01;14;;286.0;A
2016;14;;01;18;;5.0;A
2016;14;;01;23;;3.0;A
2016;14;;01;29;;1.0;A
2016;14;;01;41;;4.0;A
2016;14;;01;C01;;301.0;A
2016;14;;01;C02;;43.0;A
2016;14;;01;66;;253.0;A
2016;14;;01;00;;597.0;A
2016;14;;06;11;;4.0;A
2016;14;;06;14;;252.0;A
2016;14;;06;18;;3.0;A
2016;14;;06;23;;2.0;A
2016;14;;06;29;;5.0;A
2016;14;;06;41;;6.0;A
2016;14;;06;C01;;272.0;A
2016;14;;06;C02;;26.0;A
2016;14;;06;66;;252.0;A
2016;14;;06;00;;550.0;A
2016;18;;00;04;;18.0;A
2016;18;;00;11;;16.0;A
2016;18;;00;14;;11.0;A
2016;18;;00;18;;1058.0;A
2016;18;;00;21;;1.0;A
2016;18;;00;23;;19.0;A
2016;18;;00;29;;16.0;A
2016;18;;00;41;;16.0;A
2016;18;;00;C01;;1155.0;A
2016;18;;00;C02;;170.0;A
2016;18;;00;66;;2560.0;A
2016;18;;00;00;;3885.0;A
2016;18;;01;04;;8.0;A
2016;18;;01;11;;7.0;A
2016;18;;01;14;;6.0;A
2016;18;;01;18;;572.0;A
2016;18;;01;21;;1.0;A
2016;18;;01;23;;8.0;A
2016;18;;01;29;;6.0;A
2016;18;;01;41;;9.0;A
2016;18;;01;C01;;617.0;A
2016;18;;01;C02;;91.0;A
2016;18;;01;66;;1247.0;A
2016;18;;01;00;;1955.0;A
2016;18;;06;04;;10.0;A
2016;18;;06;11;;9.0;A
2016;18;;06;14;;5.0;A
2016;18;;06;18;;486.0;A
2016;18;;06;23;;11.0;A
2016;18;;06;29;;10.0;A
2016;18;;06;41;;7.0;A
2016;18;;06;C01;;538.0;A
2016;18;;06;C02;;79.0;A
2016;18;;06;66;;1313.0;A
2016;18;;06;00;;1930.0;A
2016;21;;00;11;;4.0;A
2016;21;;00;14;;3.0;A
2016;21;;00;18;;2.0;A
2016;21;;00;21;;297.0;A
2016;21;;00;23;;2.0;A
2016;21;;00;29;;4.0;A
2016;21;;00;41;;20.0;A
2016;21;;00;C01;;332.0;A
2016;21;;00;C02;;33.0;A
2016;21;;00;66;;286.0;A
2016;21;;00;00;;651.0;A
2016;21;;01;11;;2.0;A
2016;21;;01;14;;2.0;A
2016;21;;01;21;;158.0;A
2016;21;;01;29;;2.0;A
2016;21;;01;41;;11.0;A
2016;21;;01;C01;;175.0;A
2016;21;;01;C02;;21.0;A
2016;21;;01;66;;146.0;A
2016;21;;01;00;;342.0;A
2016;21;;06;11;;2.0;A
2016;21;;06;14;;1.0;A
2016;21;;06;18;;2.0;A
2016;21;;06;21;;139.0;A
2016;21;;06;23;;2.0;A
2016;21;;06;29;;2.0;A
2016;21;;06;41;;9.0;A
2016;21;;06;C01;;157.0;A
2016;21;;06;C02;;12.0;A
2016;21;;06;66;;140.0;A
2016;21;;06;00;;309.0;A
2016;23;;00;04;;1.0;A
2016;23;;00;11;;3.0;A
2016;23;;00;14;;5.0;A
2016;23;;00;18;;12.0;A
2016;23;;00;23;;461.0;A
2016;23;;00;29;;2.0;A
2016;23;;00;41;;2.0;A
2016;23;;00;C01;;486.0;A
2016;23;;00;C02;;55.0;A
2016;23;;00;66;;499.0;A
2016;23;;00;NC000;;2.0;A
2016;23;;00;00;;1042.0;A
2016;23;;01;04;;1.0;A
2016;23;;01;11;;3.0;A
2016;23;;01;14;;2.0;A
2016;23;;01;18;;7.0;A
2016;23;;01;23;;241.0;A
2016;23;;01;41;;2.0;A
2016;23;;01;C01;;256.0;A
2016;23;;01;C02;;30.0;A
2016;23;;01;66;;256.0;A
2016;23;;01;NC000;;1.0;A
2016;23;;01;00;;543.0;A
2016;23;;06;14;;3.0;A
2016;23;;06;18;;5.0;A
2016;23;;06;23;;220.0;A
2016;23;;06;29;;2.0;A
2016;23;;06;C01;;230.0;A
2016;23;;06;C02;;25.0;A
2016;23;;06;66;;243.0;A
2016;23;;06;NC000;;1.0;A
2016;23;;06;00;;499.0;A
2016;29;;00;04;;10.0;A
2016;29;;00;11;;64.0;A
2016;29;;00;14;;46.0;A
2016;29;;00;18;;44.0;A
2016;29;;00;21;;6.0;A
2016;29;;00;23;;23.0;A
2016;29;;00;29;;1604.0;A
2016;29;;00;41;;27.0;A
2016;29;;00;C01;;1824.0;A
2016;29;;00;C02;;404.0;A
2016;29;;00;66;;3175.0;A
2016;29;;00;00;;5403.0;A
2016;29;;01;04;;6.0;A
2016;29;;01;11;;37.0;A
2016;29;;01;14;;21.0;A
2016;29;;01;18;;27.0;A
2016;29;;01;21;;5.0;A
2016;29;;01;23;;14.0;A
2016;29;;01;29;;821.0;A
2016;29;;01;41;;16.0;A
2016;29;;01;C01;;947.0;A
2016;29;;01;C02;;221.0;A
2016;29;;01;66;;1627.0;A
2016;29;;01;00;;2795.0;A
2016;29;;06;04;;4.0;A
2016;29;;06;11;;27.0;A
2016;29;;06;14;;25.0;A
2016;29;;06;18;;17.0;A
2016;29;;06;21;;1.0;A
2016;29;;06;23;;9.0;A
2016;29;;06;29;;783.0;A
2016;29;;06;41;;11.0;A
2016;29;;06;C01;;877.0;A
2016;29;;06;C02;;183.0;A
2016;29;;06;66;;1548.0;A
2016;29;;06;00;;2608.0;A
2016;41;;00;04;;2.0;A
2016;41;;00;11;;76.0;A
2016;41;;00;14;;35.0;A
2016;41;;00;18;;18.0;A
2016;41;;00;21;;36.0;A
2016;41;;00;23;;15.0;A
2016;41;;00;29;;24.0;A
2016;41;;00;41;;1601.0;A
2016;41;;00;C01;;1807.0;A
2016;41;;00;C02;;288.0;A
2016;41;;00;66;;1573.0;A
2016;41;;00;00;;3668.0;A
2016;41;;01;11;;44.0;A
2016;41;;01;14;;19.0;A
2016;41;;01;18;;9.0;A
2016;41;;01;21;;23.0;A
2016;41;;01;23;;7.0;A
2016;41;;01;29;;11.0;A
2016;41;;01;41;;852.0;A
2016;41;;01;C01;;965.0;A
2016;41;;01;C02;;173.0;A
2016;41;;01;66;;748.0;A
2016;41;;01;00;;1886.0;A
2016;41;;06;04;;2.0;A
2016;41;;06;11;;32.0;A
2016;41;;06;14;;16.0;A
2016;41;;06;18;;9.0;A
2016;41;;06;21;;13.0;A
2016;41;;06;23;;8.0;A
2016;41;;06;29;;13.0;A
2016;41;;06;41;;749.0;A
2016;41;;06;C01;;842.0;A
2016;41;;06;C02;;115.0;A
2016;41;;06;66;;825.0;A
2016;41;;06;00;;1782.0;A
2016;C01;;00;04;;653.0;A
2016;C01;;00;11;;1371.0;A
2016;C01;;00;14;;655.0;A
2016;C01;;00;18;;1177.0;A
2016;C01;;00;21;;347.0;A
2016;C01;;00;23;;538.0;A
2016;C01;;00;29;;1680.0;A
2016;C01;;00;41;;1736.0;A
2016;C01;;00;C01;;8157.0;A
2016;C01;;00;C02;;1332.0;A
2016;C01;;00;66;;12040.0;A
2016;C01;;00;NC000;;3.0;A
2016;C01;;00;00;;21532.0;A
2016;C01;;01;04;;358.0;A
2016;C01;;01;11;;747.0;A
2016;C01;;01;14;;346.0;A
2016;C01;;01;18;;642.0;A
2016;C01;;01;21;;192.0;A
2016;C01;;01;23;;278.0;A
2016;C01;;01;29;;852.0;A
2016;C01;;01;41;;923.0;A
2016;C01;;01;C01;;4338.0;A
2016;C01;;01;C02;;739.0;A
2016;C01;;01;66;;5977.0;A
2016;C01;;01;NC000;;2.0;A
2016;C01;;01;00;;11056.0;A
2016;C01;;06;04;;295.0;A
2016;C01;;06;11;;624.0;A
2016;C01;;06;14;;309.0;A
2016;C01;;06;18;;535.0;A
2016;C01;;06;21;;155.0;A
2016;C01;;06;23;;260.0;A
2016;C01;;06;29;;828.0;A
2016;C01;;06;41;;813.0;A
2016;C01;;06;C01;;3819.0;A
2016;C01;;06;C02;;593.0;A
2016;C01;;06;66;;6063.0;A
2016;C01;;06;NC000;;1.0;A
2016;C01;;06;00;;10476.0;A
2016;C02;;00;04;;115.0;A
2016;C02;;00;11;;251.0;A
2016;C02;;00;14;;163.0;A
2016;C02;;00;18;;219.0;A
2016;C02;;00;21;;49.0;A
2016;C02;;00;23;;159.0;A
2016;C02;;00;29;;179.0;A
2016;C02;;00;41;;235.0;A
2016;C02;;00;C01;;1370.0;A
2016;C02;;00;00;;1370.0;A
2016;C02;;01;04;;65.0;A
2016;C02;;01;11;;130.0;A
2016;C02;;01;14;;102.0;A
2016;C02;;01;18;;125.0;A
2016;C02;;01;21;;27.0;A
2016;C02;;01;23;;94.0;A
2016;C02;;01;29;;93.0;A
2016;C02;;01;41;;145.0;A
2016;C02;;01;C01;;781.0;A
2016;C02;;01;00;;781.0;A
2016;C02;;06;04;;50.0;A
2016;C02;;06;11;;121.0;A
2016;C02;;06;14;;61.0;A
2016;C02;;06;18;;94.0;A
2016;C02;;06;21;;22.0;A
2016;C02;;06;23;;65.0;A
2016;C02;;06;29;;86.0;A
2016;C02;;06;41;;90.0;A
2016;C02;;06;C01;;589.0;A
2016;C02;;06;00;;589.0;A
2016;00;;00;04;;768.0;A
2016;00;;00;11;;1622.0;A
2016;00;;00;14;;818.0;A
2016;00;;00;18;;1396.0;A
2016;00;;00;21;;396.0;A
2016;00;;00;23;;697.0;A
2016;00;;00;29;;1859.0;A
2016;00;;00;41;;1971.0;A
2016;00;;00;C01;;9527.0;A
2016;00;;00;C02;;1332.0;A
2016;00;;00;66;;12040.0;A
2016;00;;00;NC000;;3.0;A
2016;00;;00;00;;22902.0;A
2016;00;;01;04;;423.0;A
2016;00;;01;11;;877.0;A
2016;00;;01;14;;448.0;A
2016;00;;01;18;;767.0;A
2016;00;;01;21;;219.0;A
2016;00;;01;23;;372.0;A
2016;00;;01;29;;945.0;A
2016;00;;01;41;;1068.0;A
2016;00;;01;C01;;5119.0;A
2016;00;;01;C02;;739.0;A
2016;00;;01;66;;5977.0;A
2016;00;;01;NC000;;2.0;A
2016;00;;01;00;;11837.0;A
2016;00;;06;04;;345.0;A
2016;00;;06;11;;745.0;A
2016;00;;06;14;;370.0;A
2016;00;;06;18;;629.0;A
2016;00;;06;21;;177.0;A
2016;00;;06;23;;325.0;A
2016;00;;06;29;;914.0;A
2016;00;;06;41;;903.0;A
2016;00;;06;C01;;4408.0;A
2016;00;;06;C02;;593.0;A
2016;00;;06;66;;6063.0;A
2016;00;;06;NC000;;1.0;A
2016;00;;06;00;;11065.0;A
2017;04;;00;04;;578.0;A
2017;04;;00;11;;4.0;A
2017;04;;00;14;;3.0;A
2017;04;;00;18;;27.0;A
2017;04;;00;23;;9.0;A
2017;04;;00;29;;4.0;A
2017;04;;00;41;;1.0;A
2017;04;;00;C01;;626.0;A
2017;04;;00;C02;;90.0;A
2017;04;;00;66;;1831.0;A
2017;04;;00;NC000;;1.0;A
2017;04;;00;00;;2548.0;A
2017;04;;01;04;;294.0;A
2017;04;;01;11;;1.0;A
2017;04;;01;14;;1.0;A
2017;04;;01;18;;18.0;A
2017;04;;01;23;;4.0;A
2017;04;;01;29;;4.0;A
2017;04;;01;C01;;322.0;A
2017;04;;01;C02;;45.0;A
2017;04;;01;66;;881.0;A
2017;04;;01;NC000;;1.0;A
2017;04;;01;00;;1249.0;A
2017;04;;06;04;;284.0;A
2017;04;;06;11;;3.0;A
2017;04;;06;14;;2.0;A
2017;04;;06;18;;9.0;A
2017;04;;06;23;;5.0;A
2017;04;;06;41;;1.0;A
2017;04;;06;C01;;304.0;A
2017;04;;06;C02;;45.0;A
2017;04;;06;66;;950.0;A
2017;04;;06;00;;1299.0;A
2017;11;;00;04;;1.0;A
2017;11;;00;11;;1152.0;A
2017;11;;00;14;;13.0;A
2017;11;;00;18;;7.0;A
2017;11;;00;21;;3.0;A
2017;11;;00;23;;4.0;A
2017;11;;00;29;;15.0;A
2017;11;;00;41;;38.0;A
2017;11;;00;C01;;1233.0;A
2017;11;;00;C02;;186.0;A
2017;11;;00;66;;916.0;A
2017;11;;00;00;;2335.0;A
2017;11;;01;11;;574.0;A
2017;11;;01;14;;8.0;A
2017;11;;01;18;;4.0;A
2017;11;;01;21;;3.0;A
2017;11;;01;23;;2.0;A
2017;11;;01;29;;9.0;A
2017;11;;01;41;;17.0;A
2017;11;;01;C01;;617.0;A
2017;11;;01;C02;;110.0;A
2017;11;;01;66;;461.0;A
2017;11;;01;00;;1188.0;A
2017;11;;06;04;;1.0;A
2017;11;;06;11;;578.0;A
2017;11;;06;14;;5.0;A
2017;11;;06;18;;3.0;A
2017;11;;06;23;;2.0;A
2017;11;;06;29;;6.0;A
2017;11;;06;41;;21.0;A
2017;11;;06;C01;;616.0;A
2017;11;;06;C02;;76.0;A
2017;11;;06;66;;455.0;A
2017;11;;06;00;;1147.0;A
2017;14;;00;04;;2.0;A
2017;14;;00;11;;8.0;A
2017;14;;00;14;;604.0;A
2017;14;;00;18;;2.0;A
2017;14;;00;21;;2.0;A
2017;14;;00;23;;9.0;A
2017;14;;00;29;;2.0;A
2017;14;;00;41;;10.0;A
2017;14;;00;C01;;639.0;A
2017;14;;00;C02;;63.0;A
2017;14;;00;66;;574.0;A
2017;14;;00;00;;1276.0;A
2017;14;;01;04;;1.0;A
2017;14;;01;11;;5.0;A
2017;14;;01;14;;305.0;A
2017;14;;01;18;;2.0;A
2017;14;;01;21;;2.0;A
2017;14;;01;23;;6.0;A
2017;14;;01;41;;5.0;A
2017;14;;01;C01;;326.0;A
2017;14;;01;C02;;25.0;A
2017;14;;01;66;;283.0;A
2017;14;;01;00;;634.0;A
2017;14;;06;04;;1.0;A
2017;14;;06;11;;3.0;A
2017;14;;06;14;;299.0;A
2017;14;;06;23;;3.0;A
2017;14;;06;29;;2.0;A
2017;14;;06;41;;5.0;A
2017;14;;06;C01;;313.0;A
2017;14;;06;C02;;38.0;A
2017;14;;06;66;;291.0;A
2017;14;;06;00;;642.0;A
2017;18;;00;04;;8.0;A
2017;18;;00;11;;12.0;A
2017;18;;00;14;;15.0;A
2017;18;;00;18;;911.0;A
2017;18;;00;21;;5.0;A
2017;18;;00;23;;26.0;A
2017;18;;00;29;;20.0;A
2017;18;;00;41;;6.0;A
2017;18;;00;C01;;1003.0;A
2017;18;;00;C02;;161.0;A
2017;18;;00;66;;1903.0;A
2017;18;;00;00;;3067.0;A
2017;18;;01;04;;5.0;A
2017;18;;01;11;;8.0;A
2017;18;;01;14;;10.0;A
2017;18;;01;18;;453.0;A
2017;18;;01;21;;2.0;A
2017;18;;01;23;;12.0;A
2017;18;;01;29;;5.0;A
2017;18;;01;41;;2.0;A
2017;18;;01;C01;;497.0;A
2017;18;;01;C02;;94.0;A
2017;18;;01;66;;905.0;A
2017;18;;01;00;;1496.0;A
2017;18;;06;04;;3.0;A
2017;18;;06;11;;4.0;A
2017;18;;06;14;;5.0;A
2017;18;;06;18;;458.0;A
2017;18;;06;21;;3.0;A
2017;18;;06;23;;14.0;A
2017;18;;06;29;;15.0;A
2017;18;;06;41;;4.0;A
2017;18;;06;C01;;506.0;A
2017;18;;06;C02;;67.0;A
2017;18;;06;66;;998.0;A
2017;18;;06;00;;1571.0;A
2017;21;;00;11;;1.0;A
2017;21;;00;14;;5.0;A
2017;21;;00;18;;2.0;A
2017;21;;00;21;;261.0;A
2017;21;;00;23;;1.0;A
2017;21;;00;29;;5.0;A
2017;21;;00;41;;21.0;A
2017;21;;00;C01;;296.0;A
2017;21;;00;C02;;45.0;A
2017;21;;00;66;;330.0;A
2017;21;;00;00;;671.0;A
2017;21;;01;11;;1.0;A
2017;21;;01;14;;3.0;A
2017;21;;01;18;;2.0;A
2017;21;;01;21;;126.0;A
2017;21;;01;29;;2.0;A
2017;21;;01;41;;11.0;A
2017;21;;01;C01;;145.0;A
2017;21;;01;C02;;20.0;A
2017;21;;01;66;;160.0;A
2017;21;;01;00;;325.0;A
2017;21;;06;14;;2.0;A
2017;21;;06;21;;135.0;A
2017;21;;06;23;;1.0;A
2017;21;;06;29;;3.0;A
2017;21;;06;41;;10.0;A
2017;21;;06;C01;;151.0;A
2017;21;;06;C02;;25.0;A
2017;21;;06;66;;170.0;A
2017;21;;06;00;;346.0;A
2017;23;;00;04;;2.0;A
2017;23;;00;11;;2.0;A
2017;23;;00;14;;3.0;A
2017;23;;00;18;;5.0;A
2017;23;;00;23;;387.0;A
2017;23;;00;29;;1.0;A
2017;23;;00;41;;2.0;A
2017;23;;00;C01;;402.0;A
2017;23;;00;C02;;53.0;A
2017;23;;00;66;;486.0;A
2017;23;;00;00;;941.0;A
2017;23;;01;04;;1.0;A
2017;23;;01;11;;2.0;A
2017;23;;01;14;;1.0;A
2017;23;;01;18;;3.0;A
2017;23;;01;23;;212.0;A
2017;23;;01;41;;2.0;A
2017;23;;01;C01;;221.0;A
2017;23;;01;C02;;28.0;A
2017;23;;01;66;;260.0;A
2017;23;;01;00;;509.0;A
2017;23;;06;04;;1.0;A
2017;23;;06;14;;2.0;A
2017;23;;06;18;;2.0;A
2017;23;;06;23;;175.0;A
2017;23;;06;29;;1.0;A
2017;23;;06;C01;;181.0;A
2017;23;;06;C02;;25.0;A
2017;23;;06;66;;226.0;A
2017;23;;06;00;;432.0;A
2017;29;;00;04;;8.0;A
2017;29;;00;11;;52.0;A
2017;29;;00;14;;28.0;A
2017;29;;00;18;;46.0;A
2017;29;;00;21;;3.0;A
2017;29;;00;23;;27.0;A
2017;29;;00;29;;1538.0;A
2017;29;;00;41;;29.0;A
2017;29;;00;C01;;1731.0;A
2017;29;;00;C02;;303.0;A
2017;29;;00;66;;3155.0;A
2017;29;;00;NC000;;2.0;A
2017;29;;00;00;;5191.0;A
2017;29;;01;04;;6.0;A
2017;29;;01;11;;26.0;A
2017;29;;01;14;;14.0;A
2017;29;;01;18;;27.0;A
2017;29;;01;21;;2.0;A
2017;29;;01;23;;13.0;A
2017;29;;01;29;;775.0;A
2017;29;;01;41;;15.0;A
2017;29;;01;C01;;878.0;A
2017;29;;01;C02;;168.0;A
2017;29;;01;66;;1619.0;A
2017;29;;01;NC000;;1.0;A
2017;29;;01;00;;2666.0;A
2017;29;;06;04;;2.0;A
2017;29;;06;11;;26.0;A
2017;29;;06;14;;14.0;A
2017;29;;06;18;;19.0;A
2017;29;;06;21;;1.0;A
2017;29;;06;23;;14.0;A
2017;29;;06;29;;763.0;A
2017;29;;06;41;;14.0;A
2017;29;;06;C01;;853.0;A
2017;29;;06;C02;;135.0;A
2017;29;;06;66;;1536.0;A
2017;29;;06;NC000;;1.0;A
2017;29;;06;00;;2525.0;A
2017;41;;00;04;;9.0;A
2017;41;;00;11;;49.0;A
2017;41;;00;14;;26.0;A
2017;41;;00;18;;16.0;A
2017;41;;00;21;;25.0;A
2017;41;;00;23;;19.0;A
2017;41;;00;29;;23.0;A
2017;41;;00;41;;1542.0;A
2017;41;;00;C01;;1709.0;A
2017;41;;00;C02;;234.0;A
2017;41;;00;66;;1659.0;A
2017;41;;00;00;;3602.0;A
2017;41;;01;04;;7.0;A
2017;41;;01;11;;23.0;A
2017;41;;01;14;;14.0;A
2017;41;;01;18;;11.0;A
2017;41;;01;21;;9.0;A
2017;41;;01;23;;8.0;A
2017;41;;01;29;;10.0;A
2017;41;;01;41;;791.0;A
2017;41;;01;C01;;873.0;A
2017;41;;01;C02;;124.0;A
2017;41;;01;66;;816.0;A
2017;41;;01;00;;1813.0;A
2017;41;;06;04;;2.0;A
2017;41;;06;11;;26.0;A
2017;41;;06;14;;12.0;A
2017;41;;06;18;;5.0;A
2017;41;;06;21;;16.0;A
2017;41;;06;23;;11.0;A
2017;41;;06;29;;13.0;A
2017;41;;06;41;;751.0;A
2017;41;;06;C01;;836.0;A
2017;41;;06;C02;;110.0;A
2017;41;;06;66;;843.0;A
